URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
31,"""https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/""",95,99,-0.02,0.25,19.77,30%,8.03,19.77,604,1141,1.79,6,6.37
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,88,129,-0.19,0.24,26.13,32%,10.58,26.13,648,1217,1.94,1,6.8
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,82,80,0.01,0.32,20.53,25%,8.31,20.53,412,825,1.61,7,6.01
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,95,109,-0.07,0.27,22.55,32%,9.15,22.55,623,1088,1.87,3,6.54
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,114,91,0.11,0.36,19.28,24%,7.81,19.28,450,965,1.7,18,5.99
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,91,77,0.08,0.24,25.05,28%,10.13,25.05,555,1091,1.7,16,6.26
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,72,69,0.02,0.28,23.3,28%,9.43,23.3,415,787,1.67,21,6.18
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,25,28,-0.06,0.18,18.69,28%,7.59,18.69,238,464,1.68,7,6.25
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,36,51,-0.17,0.3,22.8,25%,9.22,22.8,202,448,1.63,2,5.95
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,108,109,-0.005,0.26,29.83,26%,12.03,29.83,626,1265,1.75,11,6.05
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,92,124,-0.15,0.23,23.04,29%,9.34,23.04,697,1393,1.64,1,6.35
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,59,47,0.11,0.2,22.55,31%,9.14,22.55,404,748,1.94,10,6.62
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,63,65,-0.02,0.24,17.41,29%,7.08,17.41,418,839,1.67,6,6.18
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,91,71,0.12,0.27,29.25,25%,11.8,29.25,453,894,1.76,33,6
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,92,84,0.05,0.27,22.53,28%,9.13,22.53,532,1016,1.75,11,6.25
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,31,35,-0.06,0.29,25.64,31%,10.38,25.64,173,317,1.92,0,6.57
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,113,99,0.07,0.35,210.56,22%,84.31,210.55,414,940,1.76,16,5.83
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,49,58,-0.08,0.27,19.29,30%,7.83,19.29,321,607,1.77,0,6.32
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,39,43,-0.05,0.25,20.07,33%,8.16,20.07,268,467,1.82,1,6.64
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,8,16,-0.33,0.19,29.42,32%,11.89,29.42,113,203,1.81,2,6.54
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,57,115,-0.34,0.31,27.3,27%,11.03,27.3,416,842,1.79,2,6.23
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,35,45,-0.12,0.29,27.65,27%,11.17,27.65,220,430,1.71,5,6.1
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,121,137,-0.06,0.37,19.63,25%,7.95,19.63,545,1102,1.67,10,6.02
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,46,35,0.14,0.27,17.39,29%,7.07,17.39,225,434,1.72,4,6.28
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,20,19,0.03,0.25,24.71,23%,9.97,24.7,95,251,1.74,0,6.13
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,45,35,0.12,0.19,26.2,26%,10.59,26.2,340,728,1.67,4,5.99
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,50,50,0,0.34,29,32%,11.73,29,221,414,1.89,1,6.64
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,20,25,-0.11,0.34,15.71,23%,6.38,15.71,99,219,1.77,0,6.27
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,15,12,0.11,0.37,16.54,34%,6.75,16.54,61,110,1.85,1,6.5
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,46,87,-0.31,0.49,16.96,23%,6.88,16.96,214,478,1.56,19,5.9
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,9,11,-0.1,0.32,20.3,23%,8.21,20.3,46,112,1.66,1,5.86
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,74,88,-0.09,0.3,21.98,33%,8.92,21.98,430,781,1.94,0,6.8
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,21,38,-0.29,0.3,29.65,25%,11.96,29.65,148,336,1.71,10,6.2
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,44,77,-0.27,0.31,22.57,23%,9.12,22.57,265,620,1.7,7,5.93
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,62,123,-0.33,0.26,26.72,28%,10.8,26.72,562,1072,1.8,15,6.5
73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,95,94,0.005,0.33,27.68,21%,11.16,27.68,399,963,1.67,19,5.83
74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,63,60,0.02,0.22,20.37,26%,8.25,20.37,438,892,1.61,18,5.99
75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,48,53,-0.05,0.35,16.06,24%,6.52,16.06,243,469,1.54,1,5.71
76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,49,50,-0.01,0.23,24.86,21%,10.03,24.86,336,764,1.53,4,5.7
77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,40,36,0.05,0.49,32.94,24%,13.27,32.94,127,245,1.68,8,5.8
